City,Connection 1,Distance 1,Connection 2,Distance 2,Connection 3,Distance 3,Connection 4,Distance 4,Connection 5,Distance 5,Connection 6,Distance 6,Connection 7,Distance 7,Connection 8,Distance 8,Connection 9,Distance 9
Slavonski Brod,Osijek,68.36291778640468,Sisak,133.11317550178194,Zagreb,174.1959424155842,Varazdin,181.8856187100418,Doboj,49.05764327468772,,,,,,,,
Pula,Rijeka,69.03512467897843,Zadar,138.06226764043646,Karlovac,149.9765898390116,Zagreb,197.43961178274228,,,,,,,,,,
Karlovac,Zagreb,50.086982855756105,Sisak,64.40225444732992,Rijeka,88.29245937841013,Varazdin,110.12703042344779,,,,,,,,,,
Sisak,Zagreb,47.692082672460735,Karlovac,64.40225444732992,Varazdin,91.32801727782929,Slavonski Brod,133.11317550178194,,,,,,,,,,
Varazdin,Zagreb,61.104391949730974,Sisak,91.32801727782929,Karlovac,110.12703042344779,Slavonski Brod,181.8856187100418,Ptuj,38.01279314012571,,,,,,,,
Prague,Usti nad Labem,68.94581883222112,Plzen,83.75719903648559,Liberec,88.2792188364907,Pardubice,97.0721021971152,,,,,,,,,,
Brno,Olomouc,64.45394105665349,Zlin,77.0266271620063,Pardubice,111.44055421935572,Hradec Kralove,126.07813520538953,Vienna,110.79761354057895,,,,,,,,
Ostrava,Olomouc,79.57131893363473,Zlin,80.78609310321272,Brno,141.0544314025878,Hradec Kralove,180.60054396943096,Katowice,70.50807790784012,,,,,,,,
Plzen,Prague,83.75719903648559,Usti nad Labem,111.7647297296876,Liberec,165.11267297663042,Pardubice,175.0527466586779,,,,,,,,,,
Liberec,Usti nad Labem,73.16922662852608,Hradec Kralove,82.31459513067601,Prague,88.2792188364907,Pardubice,95.41765533834158,,,,,,,,,,
Olomouc,Zlin,50.15625745221712,Brno,64.45394105665349,Ostrava,79.57131893363473,Pardubice,116.58646543254635,,,,,,,,,,
Usti nad Labem,Prague,68.94581883222112,Liberec,73.16922662852608,Plzen,111.7647297296876,Hradec Kralove,136.29070913956653,Berlin,211.63083363532823,,,,,,,,
Hradec Kralove,Pardubice,19.342480315398838,Liberec,82.31459513067601,Prague,101.43022680037392,Olomouc,122.48712894781913,,,,,,,,,,
Pardubice,Hradec Kralove,19.342480315398838,Liberec,95.41765533834158,Prague,97.0721021971152,Brno,111.44055421935572,,,,,,,,,,
Zlin,Olomouc,50.15625745221712,Brno,77.0266271620063,Ostrava,80.78609310321272,Pardubice,162.78833305864214,Trencin,46.53327356691028,,,,,,,,
Copenhagen,Roskilde,30.55749038819829,Odense,140.64576328942147,Aarhus,156.337352656167,Horsens,171.23040133400693,Malmo,30.36184322918433,,,,,,,,
Aarhus,Randers,34.97823077669977,Horsens,40.09303370077553,Vejle,64.64524414134301,Odense,85.39161158435405,,,,,,,,,,
Odense,Kolding,57.050305028226546,Horsens,61.54692460481383,Vejle,64.5494213385094,Aarhus,85.39161158435405,Hamburg,206.77286827126096,,,,,,,,
